,review_id,user_id,business_id,date,classes,business_id2,review_id2,user_id2,business_label,user_label,review_label,year
0,as3dFVDDw_XHDtp749rWmw,zzaq5Fn1U2Feut3dGxidNg,8nP8ghEpT6WFcM6tfqAaGA,2015/3/18 19:23,3,0,0,0,4,4,4,2015
1,gOIxceo80TWnWBuRgUavYg,JnPIjvC0cmooNDfsa9BmXg,nY2oBwH3s5sKox1mERIoVQ,2009/5/20 3:22,3,1,1,1,4,4,4,2009
2,PhN14AYrE5NgFKS3U8BZ1w,lluNN1aQlFN7NQQ2BxFBUQ,AtD6B83S4Mbmq0t7iDnUVA,2015/1/18 18:39,1,2,2,2,2,2,2,2015
3,opg5-BDGIT7ovgU6nib4jg,SRLUbD3FwG2w40IB9RlNNQ,Ra5fI9BEAuWWaLJSfkiCiQ,2018/1/21 14:38,3,3,3,3,4,4,4,2018
4,CeqmLTAm_rpbnWyhZsUQGA,_PjyLyv3YbVFOXwhXuF8kQ,mBzL2_AKRD5TFQwMA6Itdg,2017/12/2 18:30,3,4,4,4,4,4,4,2017
5,bh_e1THgMaSmVZwi2HVCjQ,SaiLEuDVmP62l8oNSl5XQg,q3YnYPjLuBGRDi_59yTC5g,2016/1/4 4:14,3,5,5,5,4,4,4,2016
6,ab6TPqyzfrYa0ZUEQKKf-g,h69CQvbyAD7JVOc5VPz0_g,JTXqPkssRG-3rlrh_uMcYQ,2018/2/23 21:55,1,6,6,6,2,2,2,2018
7,FI4ZwWvuT5DBr41nwV8Xtg,OfpwOsEmKMQ-R4AKD7gDxw,tZEW8ESjrVmNGXvPnrR97w,2014/4/1 2:06,0,7,7,7,1,1,1,2014
8,9Jb2PeUWJzjXk4CfITc4Iw,yXl-JUla5qr8TeitOu0C4A,8nP8ghEpT6WFcM6tfqAaGA,2015/10/23 15:09,3,0,8,8,4,4,4,2015
9,ea4un5C91F_sO6_Hoaj3ow,LAIGnIbhrmwjJYovnwQ-4A,AtD6B83S4Mbmq0t7iDnUVA,2014/7/28 2:41,1,2,9,9,1,2,2,2014
10,7sJ7UHJA6ICB5v-o2j376Q,A8hV_ETv_yV4RePyFdutqw,Ra5fI9BEAuWWaLJSfkiCiQ,2010/1/8 19:58,3,3,10,10,4,4,4,2010
11,Fks6k3YvTRbZSxLBIzkySA,em8n7IUsqMtWPY7ECmYDEw,q3YnYPjLuBGRDi_59yTC5g,2018/8/14 10:32,3,5,11,11,1,4,4,2018
12,iji9FL-bHoU3RDhhERHXmg,B9TzKVHf7P9ePODjMaVfmw,SqoscicPMzL5mJC5JNaD0w,2016/4/23 1:59,3,8,12,12,2,4,4,2016
13,yqZsA08aY7Vl0NqBOJrddw,ebMJ9QZj8WhjbR5DrCHyZQ,AsgwKCJqyBqdiHdEBqeq3w,2011/11/30 7:11,0,9,13,13,1,1,1,2011
14,8LKn6IcQd-IzqkKKNYaOjw,bQZf_vgWO1c_9jWWWkSCwQ,8nP8ghEpT6WFcM6tfqAaGA,2017/3/27 3:33,3,0,14,14,1,4,4,2017
15,FKlNbCgL8cI_lZ_tIdnwxw,wB-R_Q9nC45hmHYxjjaLNw,J7fekWie4ZwR03AZVBisFw,2018/3/23 13:58,3,10,15,15,1,4,4,2018
16,ivgEqtt58Fm2U0HXDK5eOQ,60skTN6p8SdQ2sGNKL0vRQ,q3YnYPjLuBGRDi_59yTC5g,2017/12/2 18:47,3,5,16,16,1,4,4,2017
17,xtIcRjP3iEhiyWZbcQ-AtA,R_TJQ6Hy1BtOYK_hCl25bQ,_PKXarw3GjlbwbXhjdpUMA,2013/12/28 20:35,0,11,17,17,2,1,1,2013
18,-XInWEZEZ-75YGiAXPOJmw,6X-jOW7lsctid8d_SY8d5A,37XExTruLjOLqnTERYy8aw,2014/11/30 0:05,1,12,18,18,1,2,2,2014
19,aQpgz3z_U6ffHgxHt45hgg,cv0d46AaUiU1hF_ixe-2WQ,AtD6B83S4Mbmq0t7iDnUVA,2017/7/18 21:17,1,2,19,19,4,2,2,2017
20,oM9UfsnscACzMyqPClIeJA,g3-0jzjrnS-Gf-AgdMkOaA,mBzL2_AKRD5TFQwMA6Itdg,2016/7/14 18:48,3,4,20,20,4,4,4,2016
21,qxVjyp1PCps4_xv7-JKfhw,jJD0NyZD0aMGmRlMqk0dRA,PlP0c_u3g-3LiWHpb2XnOQ,2016/12/4 6:42,0,13,21,21,4,1,1,2016
22,YbAJUb4oJ5f2QFOrGJWtTw,ezW02HA5b_tIBZxN76wXOA,JQWIZ8MT-VGZzO5W5XCB5Q,2011/11/30 5:44,0,14,22,22,2,1,1,2011
23,0Kl3bLrEqoqBf8Y2_kOpNw,NGeWzlJjXGZZ4k6Z5xZELQ,8nP8ghEpT6WFcM6tfqAaGA,2017/4/7 22:05,3,0,23,23,4,4,4,2017
24,U9L41oZwrhrLSQaXN1FcFg,11EfPGREtUXHo8sgIzXT_w,8nP8ghEpT6WFcM6tfqAaGA,2015/6/21 3:26,3,0,24,24,4,4,4,2015
25,Tg-8kwxK484P-5a2WKkZPA,p4fFo2aVK9fYhWk5U0Hrrg,IBNWrN1k9E0E_bMcRD-GwA,2018/8/4 22:18,0,15,25,25,4,1,1,2018
26,FrBoa9mKsiszbr6k7VdO9g,0XYI3i52NV-2s4bEoL9rZw,AtD6B83S4Mbmq0t7iDnUVA,2017/1/27 21:48,1,2,26,26,4,2,2,2017
27,03BCzEQzACR4g2wP9e4GJw,Gp2CEBtzttCeqymHq0POow,r3jpH6ZuCQY3o1yBuJ67PQ,2014/1/17 1:07,0,16,27,27,3,1,1,2014
28,NVBQMsJ3tt53yH4uk1dbEw,iYTbvQ1CRUGMrKjQ9EYfZQ,nY2oBwH3s5sKox1mERIoVQ,2016/5/7 2:51,3,1,28,28,1,4,4,2016
29,Zsrv9fSBBi_7UigFIMootA,cYyOz1Z2S3smsovo2Vl2nQ,5JW08_RL9K60Ubo8-8lyVg,2017/10/2 1:56,1,17,29,29,2,2,2,2017
30,FldmDBxtm-Ih9gvXzyAnKQ,2e5V6M4GNufEnbGJpVdCjw,KpK9IDybfThL_sR0zF5t4Q,2015/9/24 0:31,0,18,30,30,4,1,1,2015
31,7RDEUJEfjK7QH3KVck_-jg,2aDcCm7sqY_BzHm82SUfTw,vsGoYMRvBYss3x9fn-jDzQ,2015/2/2 6:04,3,19,31,31,4,4,4,2015
32,DN-ZmUMZbADn0Pk94RzOIA,mhWk1yG1J_wTgiLjL2gavw,8nP8ghEpT6WFcM6tfqAaGA,2014/11/30 3:46,3,0,32,32,4,4,4,2014
33,2ajl11M02C6Mfu9ZyMfRmA,J4r0-uE6Sfwu1Aw7eWJPug,AtD6B83S4Mbmq0t7iDnUVA,2015/11/18 21:08,1,2,33,33,4,2,2,2015
34,#NAME?,3jCgfOvgfzYa2iXEywceAA,AtD6B83S4Mbmq0t7iDnUVA,2014/3/14 10:32,1,2,34,34,4,2,2,2014
35,xnErzNPixeJa8Xp4yoRI7g,6PAyq60TXOsTySMr3FEhlw,ydE2SjvSd9_NMoEBAE2PuA,2012/2/1 3:48,3,20,35,35,4,4,4,2012
36,4JfPUbjDlv522pKZ0knfhw,kJYc9n-t1t_CnHvpeTSurw,wERcL1KznuTgfltSKQt_jg,2017/6/17 17:40,3,21,36,36,4,4,4,2017
37,1w1_m9KH6x1I8YCWluvsYw,lmoVlZxkAfiw1teNAsjS4g,K5Q2vkF5UpytV9Q1rB-5Yg,2018/5/8 19:23,1,22,37,37,4,2,2,2018
38,TcVRIMK2WXA36UbEYps0WQ,e-0zEgp_EK9oBbyQpyI71w,IBNWrN1k9E0E_bMcRD-GwA,2016/6/22 22:23,0,15,38,38,4,1,1,2016
39,kVtpOyCm6N8TtzNAYPcPZQ,H0_h8GCu0EYsX9i-GN7MRA,5JW08_RL9K60Ubo8-8lyVg,2018/2/1 20:56,1,17,39,39,4,2,2,2018
40,fhEccVjDgWVHozWVTjtJbg,iYxEmwo_IVdgPwyRHTR6tA,tqumNKvNmeII_DRG6SdRuw,2017/9/9 1:33,3,23,40,40,4,4,4,2017
41,zhz8M4F_2Rj4v-hFenfCEw,N5cTSxPNGm012ozk1xA1Xw,q3YnYPjLuBGRDi_59yTC5g,2017/10/2 3:15,3,5,41,41,4,4,4,2017
42,8LaDwR0nfFbsPT60j9nhcQ,Mx88pVIphvnRr3Eu_Qee5A,q3YnYPjLuBGRDi_59yTC5g,2016/7/14 19:29,3,5,42,42,2,4,4,2016
43,krbrKqpgt9SCdP7NmiKyhA,_uqIpl5tzucKuIlZZPBZRw,wiPtQK7_QAkUUMQtyiaUNg,2015/5/26 15:39,3,24,43,43,4,4,4,2015
