venueid,user,venueid_id,cate_id,cate2_id,venueid_label,user_label
4bd2177d046076b055357371,0,0,0,7,0,0
4c6ec9f765eda093468552d0,0,1,1,21,1,3
4a71e4cff964a520ccd91fe3,0,2,2,21,2,1
4bd2177d046076b055357371,0,0,0,7,3,3
4b8f0e7ff964a520df4633e3,1,3,3,21,4,2
4b1eb993f964a520871e24e3,2,4,4,21,2,4
4bae72d5f964a520bdb33be3,2,5,2,21,1,6
49ca8f4df964a520b9581fe3,2,6,1,21,1,1
49d68c61f964a520e65c1fe3,2,7,1,21,1,1
44ff5a91f964a520a5381fe3,2,8,1,21,1,1
464348def964a5206e461fe3,2,9,1,21,3,3
4bd8cf7fe914a59340a854fa,3,10,3,22,2,1
49c1df70f964a520d9551fe3,4,11,2,10,5,3
4a5e74b1f964a5209cbe1fe3,4,12,5,4,6,6
40f71a80f964a520af0a1fe3,4,13,6,7,4,6
4aca5facf964a520a9c120e3,5,14,4,21,7,1
4aca5facf964a520a9c120e3,5,14,4,21,8,0
4aca5facf964a520a9c120e3,5,14,4,21,1,13
4ac3024af964a520079b20e3,5,15,7,21,9,1
4bad7c70f964a520a7553be3,5,16,8,21,3,7
49e79e70f964a520e0641fe3,5,17,1,21,3,2
4ab6d922f964a520497920e3,5,18,9,7,4,1
4a29316df964a52064951fe3,5,19,3,10,4,3
455f77abf964a520903d1fe3,5,20,3,21,1,1
4aca5facf964a520a9c120e3,5,14,4,21,1,6
4bccf9a1fb84c9b65c72213e,5,21,4,21,1,13
49b9cab2f964a52052531fe3,5,22,4,21,1,6
49bd6c9ef964a5207a541fe3,5,23,1,4,1,1
4a736f6ff964a5206edc1fe3,5,24,1,21,1,0
4a6dc9d5f964a520fcd21fe3,5,25,1,21,1,1
44abe9e1f964a52009351fe3,5,26,1,21,2,6
4aca5facf964a520a9c120e3,5,14,4,21,1,1
4abfdac7f964a5209f9220e3,5,27,1,21,1,13
4aca5facf964a520a9c120e3,5,14,4,21,1,4
4aca5facf964a520a9c120e3,5,14,4,21,6,3
455f77abf964a520903d1fe3,5,20,3,21,10,1
4a7324d9f964a520aadb1fe3,5,28,1,21,6,10
4aca5facf964a520a9c120e3,5,14,4,21,2,1
4aca5facf964a520a9c120e3,5,14,4,21,10,6
4aca5facf964a520a9c120e3,5,14,4,21,6,6
49defb9ff964a520b9601fe3,5,29,1,21,6,2
4aca5facf964a520a9c120e3,5,14,4,21,1,6
4aca5facf964a520a9c120e3,5,14,4,21,1,1
49defb9ff964a520b9601fe3,5,29,1,21,1,3
4aca5facf964a520a9c120e3,5,14,4,21,1,3
4aca5facf964a520a9c120e3,5,14,4,21,1,1
4a6dc9d5f964a520fcd21fe3,5,25,1,21,6,3
4aca5facf964a520a9c120e3,5,14,4,21,1,0
4aca5facf964a520a9c120e3,5,14,4,21,1,6
49defb9ff964a520b9601fe3,5,29,1,21,3,1
4aca5facf964a520a9c120e3,5,14,4,21,1,1
4aca5facf964a520a9c120e3,5,14,4,21,3,1
4b01caccf964a520754522e3,5,30,2,21,3,1
4aca5facf964a520a9c120e3,5,14,4,21,2,6
4aca5facf964a520a9c120e3,5,14,4,21,2,1
4a48f203f964a520d8aa1fe3,5,31,1,21,11,10
455f77abf964a520903d1fe3,5,20,3,21,2,0
4aca5facf964a520a9c120e3,5,14,4,21,3,10
4aca5facf964a520a9c120e3,5,14,4,21,1,6
4aca5facf964a520a9c120e3,5,14,4,21,8,6
4aca5facf964a520a9c120e3,5,14,4,21,10,1
4bd2177d046076b055357371,6,0,0,7,9,6
436bf600f964a520b7291fe3,6,32,1,21,1,3
4a997ee9f964a520a42e20e3,6,33,1,21,10,1
428e7a00f964a520cf231fe3,6,34,6,21,5,6
4a53a9e0f964a52096b21fe3,6,35,10,21,2,2
3fd66200f964a52099ed1ee3,6,36,6,16,1,3
40bbc700f964a520b1001fe3,6,37,2,21,3,1
4a5824e5f964a5206db71fe3,6,38,10,7,1,1
44be789af964a520a4351fe3,6,39,6,1,3,1
460c5fe0f964a520fe441fe3,6,40,6,21,6,6
4b4037e0f964a520efb625e3,6,41,1,21,6,2
4a18b8e9f964a520e2791fe3,7,42,1,21,11,6
43e4ffc6f964a520f02e1fe3,7,43,1,21,10,5
4a5a3157f964a520ddb91fe3,7,44,1,7,4,3
3fd66200f964a5205bec1ee3,8,45,1,21,10,1
45487bc1f964a520833c1fe3,8,46,6,1,1,6
49d68c61f964a520e65c1fe3,8,7,1,21,3,3
4ba7f1b9f964a520b8c039e3,9,47,1,21,1,6
4a71e4cff964a520ccd91fe3,9,2,2,21,2,18
43d820b6f964a520612e1fe3,9,48,1,21,2,1
49d01698f964a520fd5a1fe3,9,49,3,2,6,2
49e22ce6f964a520f9611fe3,9,50,1,21,6,1
4a71e4cff964a520ccd91fe3,9,2,2,21,1,1
44f9c96ef964a5206e381fe3,10,51,3,21,2,1
4adb8632f964a5209d2821e3,10,52,3,21,1,1
49b71814f964a5201a531fe3,10,53,2,8,10,1
4c3a1d760a71c9b662af43c9,10,54,2,7,3,1
4c23a11dc11dc9b6a2262424,10,55,11,4,2,13
4c33179ea0ced13a0e04166e,10,56,2,21,1,7
41059b00f964a520850b1fe3,11,57,3,21,7,1
41059b00f964a520850b1fe3,11,57,3,21,1,3
44ccee85f964a52016361fe3,11,58,1,21,6,10
49d01698f964a520fd5a1fe3,11,49,3,2,10,3
4baaf9f5f964a52068903ae3,11,59,8,21,1,1
464b8b00f964a520b3461fe3,11,60,10,5,6,1
4089ae00f964a520bff21ee3,11,61,9,7,7,6
4123ed80f964a520430c1fe3,11,62,1,21,10,1
4babb5a1f964a52086c23ae3,11,63,10,1,10,3
464b8b00f964a520b3461fe3,11,60,10,5,1,4
439e950cf964a5200c2c1fe3,11,64,5,4,1,1
4ba562f8f964a520f50139e3,11,65,2,7,10,11
49e79a69f964a520d7641fe3,11,66,1,21,6,1
41059b00f964a520850b1fe3,11,57,3,21,2,2
4d2089830901721e555f93a5,11,67,3,22,6,3
3fd66200f964a5203dee1ee3,11,68,1,21,4,6
4813bc50f964a520414f1fe3,11,69,3,21,10,3
41059b00f964a520850b1fe3,11,57,3,21,10,1
49b06161f964a520ba521fe3,11,70,6,21,1,10
45587735f964a520443d1fe3,11,71,6,10,1,1
4a5f7d1df964a520b4bf1fe3,11,72,11,4,4,3
4baaf9f5f964a52068903ae3,11,59,8,21,10,1
464b8b00f964a520b3461fe3,11,60,10,5,3,1
464b8b00f964a520b3461fe3,11,60,10,5,1,1
4123ed80f964a520430c1fe3,11,62,1,21,2,13
464b8b00f964a520b3461fe3,11,60,10,5,6,1
44dc7274f964a520aa361fe3,11,73,10,21,3,1
464b8b00f964a520b3461fe3,11,60,10,5,6,6
4dc173dfb3dce8bc0cd4cb5a,11,74,4,21,1,3
4a12f0faf964a5209d771fe3,11,75,10,21,3,4
4458a790f964a520d3321fe3,11,76,1,21,1,1
4b648c89f964a520b9bc2ae3,11,77,3,23,6,2
464b8b00f964a520b3461fe3,11,60,10,5,2,12
4c08a97aa1b32d7fbf6c96f0,11,78,1,21,1,10
4baaf9f5f964a52068903ae3,11,59,8,21,3,3
4be70da2cf200f471634153c,11,79,2,7,7,10
4ab595e1f964a520877520e3,11,80,2,21,9,1
464b8b00f964a520b3461fe3,11,60,10,5,7,1
455e05faf964a5207f3d1fe3,11,81,6,1,1,10
3fd66200f964a52041ee1ee3,11,82,6,1,1,6
44ce9913f964a52018361fe3,11,83,1,21,6,16
44dc7274f964a520aa361fe3,11,73,10,21,12,13
41059b00f964a520850b1fe3,11,57,3,21,10,2
4b42547ef964a520bbd125e3,11,84,2,21,1,6
4a4acc3af964a52033ac1fe3,11,85,1,21,2,7
4baaf9f5f964a52068903ae3,11,59,8,21,2,3
4baaf9f5f964a52068903ae3,11,59,8,21,1,6
4ccb01ee7c2ff04d3ab68f7e,11,86,10,21,4,3
4bfb0c8365fbc9b642eb906c,11,87,3,23,3,10
4468f484f964a5204f331fe3,11,88,2,7,6,1
4c1e9060eac020a10dec49c2,11,89,1,21,10,1
4a4acc3af964a52033ac1fe3,11,85,1,21,1,6
4aa48566f964a520024720e3,11,90,7,21,6,6
4b477ea0f964a520f63326e3,11,91,1,21,1,4
41059b00f964a520850b1fe3,11,57,3,21,1,13
41059b00f964a520850b1fe3,11,57,3,21,6,1
4baaf9f5f964a52068903ae3,11,59,8,21,6,6
44dc7274f964a520aa361fe3,11,73,10,21,3,3
4bbe7a6f30c99c7471e55311,11,92,6,1,2,1
4b3e87caf964a520869e25e3,11,93,10,24,6,1
4a59328df964a520f2b81fe3,11,94,1,21,4,1
4bf5b259bfeac92873029336,11,95,6,1,1,7
4813bc50f964a520414f1fe3,11,69,3,21,1,1
4b9af6aaf964a52059e735e3,11,96,7,21,6,1
4827b8b1f964a520bb4f1fe3,11,97,10,25,13,3
475fbd10f964a520de4c1fe3,11,98,10,1,6,1
4c0d4f342466a59348627721,11,99,1,21,1,2
4b92905af964a520b30434e3,11,100,1,21,6,1
3fd66200f964a5203dee1ee3,11,68,1,21,5,9
48071b16f964a520024f1fe3,11,101,10,1,6,1
43582f80f964a520da281fe3,11,102,6,21,10,3
4baa785ef964a520076d3ae3,11,103,2,21,1,13
4cf9d647084f548167c77709,11,104,6,21,6,2
4a21b10cf964a5202d7d1fe3,11,105,4,21,1,1
4ac6b75ff964a520f6b520e3,11,106,10,21,4,1
4b648c89f964a520b9bc2ae3,11,77,3,23,6,1
4123ed80f964a520430c1fe3,11,62,1,21,8,1
3fd66200f964a5203dee1ee3,11,68,1,21,6,3
4c4781480f5aa5932a3e7e76,11,107,10,21,13,3
4ccb01ee7c2ff04d3ab68f7e,11,86,10,21,6,3
4baaf9f5f964a52068903ae3,11,59,8,21,1,6
439c8ab9f964a520f52b1fe3,11,108,1,21,1,6
4baaf9f5f964a52068903ae3,11,59,8,21,1,1
4ccb01ee7c2ff04d3ab68f7e,11,86,10,21,1,1
4ccb01ee7c2ff04d3ab68f7e,11,86,10,21,8,1
49f2b815f964a520626a1fe3,11,109,1,21,6,1
4bfb0c8365fbc9b642eb906c,11,87,3,23,6,1
4baaf9f5f964a52068903ae3,11,59,8,21,1,1
4b3e87caf964a520869e25e3,11,93,10,24,1,3
48071b16f964a520024f1fe3,11,101,10,1,6,3
4baaf9f5f964a52068903ae3,11,59,8,21,6,1
4baaf9f5f964a52068903ae3,11,59,8,21,1,1
4baaf9f5f964a52068903ae3,11,59,8,21,1,6
4a5f7d1df964a520b4bf1fe3,11,72,11,4,6,6
4ccf82789d87224bd4cc4f3b,11,110,4,21,1,4
4baaf9f5f964a52068903ae3,11,59,8,21,13,2
4ccf82789d87224bd4cc4f3b,11,110,4,21,10,2
4a71e4cff964a520ccd91fe3,11,2,2,21,13,1
4baaf9f5f964a52068903ae3,11,59,8,21,3,1
43067280f964a52023271fe3,11,111,10,18,1,14
41059b00f964a520850b1fe3,11,57,3,21,2,10
3fd66200f964a5203dee1ee3,11,68,1,21,12,6
449a73a9f964a52097341fe3,11,112,3,21,6,1
4697a079f964a520e8481fe3,11,113,1,21,13,1
